   1.53603 1.00121   1.53605 1.00121   1.53607 1.00121   1.53608 1.00120
   1.53610 1.00120   1.53612 1.00120   1.53614 1.00120   1.53616 1.00120
   1.53618 1.00120   1.53620 1.00120   1.53622 1.00120   1.53623 1.00119
   1.53625 1.00119   1.53627 1.00119   1.53629 1.00119   1.53631 1.00119
   1.53633 1.00119   1.53635 1.00119   1.53636 1.00119   1.53638 1.00118
   1.53640 1.00118   1.53642 1.00118   1.53644 1.00118   1.53646 1.00118
   1.53648 1.00118   1.53649 1.00118   1.53651 1.00117   1.53653 1.00117
   1.53655 1.00117   1.53657 1.00117   1.53659 1.00117   1.53660 1.00117
   1.53662 1.00117   1.53664 1.00117   1.53666 1.00116   1.53668 1.00116
   1.53669 1.00116   1.53671 1.00116   1.53673 1.00116   1.53675 1.00116
   1.53677 1.00116   1.53678 1.00116   1.53680 1.00116   1.53682 1.00115
   1.53684 1.00115   1.53686 1.00115   1.53688 1.00115   1.53689 1.00115
   1.53691 1.00115   1.53693 1.00115   1.53695 1.00115   1.53696 1.00114
   1.53698 1.00114   1.53700 1.00114   1.53702 1.00114   1.53704 1.00114
   1.53705 1.00114   1.53707 1.00114   1.53709 1.00114   1.53711 1.00113
   1.53712 1.00113   1.53714 1.00113   1.53716 1.00113   1.53718 1.00113
   1.53720 1.00113   1.53721 1.00113   1.53723 1.00113   1.53725 1.00113
   1.53727 1.00112   1.53728 1.00112   1.53730 1.00112   1.53732 1.00112
   1.53734 1.00112   1.53735 1.00112   1.53737 1.00112   1.53739 1.00112
   1.53741 1.00111   1.53742 1.00111   1.53744 1.00111   1.53746 1.00111
   1.53748 1.00111   1.53749 1.00111   1.53751 1.00111   1.53753 1.00111
   1.53754 1.00111   1.53756 1.00110   1.53758 1.00110   1.53760 1.00110
   1.53761 1.00110   1.53763 1.00110   1.53765 1.00110   1.53767 1.00110
   1.53768 1.00110   1.53770 1.00110   1.53772 1.00109   1.53773 1.00109
   1.53775 1.00109   1.53777 1.00109   1.53778 1.00109   1.53780 1.00109
   1.53782 1.00109   1.53784 1.00109   1.53785 1.00108   1.53787 1.00108
   1.53789 1.00108   1.53790 1.00108   1.53792 1.00108   1.53794 1.00108
   1.53795 1.00108   1.53797 1.00108   1.53799 1.00108   1.53800 1.00107
   1.53802 1.00107   1.53804 1.00107   1.53805 1.00107   1.53807 1.00107
   1.53809 1.00107   1.53810 1.00107   1.53812 1.00107   1.53814 1.00107
   1.53815 1.00107   1.53817 1.00106   1.53819 1.00106   1.53820 1.00106
   1.53822 1.00106   1.53824 1.00106   1.53825 1.00106   1.53827 1.00106
   1.53829 1.00106   1.53830 1.00106   1.53832 1.00105   1.53834 1.00105
   1.53835 1.00105   1.53837 1.00105   1.53839 1.00105   1.53840 1.00105
   1.53842 1.00105   1.53844 1.00105   1.53845 1.00105   1.53847 1.00104
   1.53848 1.00104   1.53850 1.00104   1.53852 1.00104   1.53853 1.00104
   1.53855 1.00104   1.53857 1.00104   1.53858 1.00104   1.53860 1.00104
   1.53861 1.00104   1.53863 1.00103   1.53865 1.00103   1.53866 1.00103
   1.53868 1.00103   1.53869 1.00103   1.53871 1.00103   1.53873 1.00103
   1.53874 1.00103   1.53876 1.00103   1.53878 1.00102   1.53879 1.00102
   1.53881 1.00102   1.53882 1.00102   1.53884 1.00102   1.53886 1.00102
   1.53887 1.00102   1.53889 1.00102   1.53890 1.00102   1.53892 1.00102
   1.53893 1.00101   1.53895 1.00101   1.53897 1.00101   1.53898 1.00101
   1.53900 1.00101   1.53901 1.00101   1.53903 1.00101   1.53905 1.00101
   1.53906 1.00101   1.53908 1.00101   1.53909 1.00100   1.53911 1.00100
   1.53912 1.00100   1.53914 1.00100   1.53916 1.00100   1.53917 1.00100
   1.53919 1.00100   1.53920 1.00100   1.53922 1.00100   1.53923 1.00100
   1.53925 1.00099   1.53926 1.00099   1.53928 1.00099   1.53930 1.00099
   1.53931 1.00099   1.53933 1.00099   1.53934 1.00099   1.53936 1.00099
   1.53937 1.00099   1.53939 1.00099   1.53940 1.00099   1.53942 1.00098
   1.53943 1.00098   1.53945 1.00098   1.53946 1.00098   1.53948 1.00098
   1.53950 1.00098   1.53951 1.00098   1.53953 1.00098   1.53954 1.00098
   1.53956 1.00098
